EOP,A xylosoxidans jini,A xylosoxidans ayb,A xylosoxidans suz,A insolitus vya,A insolitus neet,A insolitus aura,A insolitus cram
Coliflower,1.78E+01,3.33E+04,8.33E+02,1.00E+00,1.11E+03,3.33E+02,5.56E+02
Infector,2.50E-01,1.00E+02,1.67E+04,1.00E+00,2.50E-05,8.33E-04,1.25E-03
Yaccob,3.75E-04,4.50E+02,1.75E-02,1.00E+00,4.50E+00,5.00E+00,2.50E+00
Rage,7.69E-08,7.69E-03,2.15E+00,1.00E+00,3.08E-03,1.31E+00,9.23E-01
Patchman,6.15E-07,7.69E-03,2.15E+00,1.00E+00,3.08E-03,1.31E+00,9.23E-01
Viralious,1.03E+10,4.84E+07,1.00E+10,1.00E+00,9.03E+09,8.06E+09,7.74E+09
Turner,4.17E-09,2.50E-01,8.33E-05,1.00E+00,1.25E-04,1.67E-06,2.50E-06
Saurus,6.00E-03,1.80E+07,4.00E-03,1.00E+00,1.00E-01,2.00E-01,3.00E-01
Gadget,1.67E+00,8.33E+01,3.00E+02,1.00E+00,2.50E+00,2.17E-01,3.67E+00
kuwaak,1.67E-01,1.00E+01,1.33E+01,1.00E+00,6.67E-11,6.67E-11,3.00E-11
ewik,2.50E-05,3.00E+00,4.00E+02,1.00E+00,2.00E+00,5.50E+00,2.50E-06
maay,8.00E-07,8.00E-03,2.00E-02,1.00E+00,1.60E-02,4.40E-02,2.00E-02
tuull,5.00E-05,1.67E+02,2.67E+01,1.00E+00,1.00E+00,1.67E-03,5.83E-05
nyashin,4.00E-01,4.67E-01,5.33E+03,1.00E+00,8.67E-01,2.00E-03,2.67E-03
kwarr,1.12E-03,8.00E-03,2.00E-02,1.00E+00,6.00E-09,4.00E-11,2.00E-07
